a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
dunda,"
'''dunda''' — ''x<sub>1</sub><sub>(entity)</sub>''  gives or donates  ''x<sub>2</sub><sub>(entity, property of x1)</sub>''  to  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo dunda''' — giver. '''lo se dunda''' — gift. '''lo te dunda''' — receiver of a gift. 
:'''mi pu dunda lo plise do''' — ''I gave you an apple.''
:Comment: '''lo''' '''se''' '''dunda''' doesn't need to be only ''special present''.
:Related words: '''benji''', '''muvdu''', '''canja''', '''pleji''', '''vecnu''', '''friti''', '''sfasa''', '''dapma''', '''cnemu''', '''prali'''"
dunja,"
'''dunja''' — ''x<sub>1</sub><sub>(entity)</sub>''  freezes
:'''ra na ru'e dunja''' — ''He almost froze.''
:Related words: '''febvi''', '''lunsa''', '''runme''', '''sligu'''"
dunku,"
'''dunku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is distressed or anguished by  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo dunku''' — distressed. '''lo se dunku''' — distressing event. 
:'''mi pu dunku lo ka kansa no da''' — ''I was distressed at being alone.''
:'''xu do dunku lo nu lo do mensi cu bilma''' — ''Are you distressed at your sister being ill?''
:Related words: '''fengu''', '''surla'''"
dunli,"
'''dunli''' — ''x<sub>1</sub><sub>(entity)</sub>''  is equal to  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1 and x2 with '''kau''')</sub>'' 
:'''lo dunli''' — equal. 
:'''mi dunli lo mensi be mi lo ka clani i ku'i mi na mintu le mensi''' — ''I am as long as my sister is. But I'm not her.''
:'''mi dunli do lo ka jinvi ma kau lo se zukte be le prenu''' — ''I am in concord with you in what we think about his actions.''
:Related words: '''du'i''', '''satci''', '''frica''', '''simsa''', '''mintu'''"
dunra,"
'''dunra''' — ''x<sub>1</sub><sub>(entity)</sub>''  is winter of year  ''x<sub>2</sub><sub>(entity)</sub>''  at location  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo dunra''' — winter. 
:'''ca lo dunra be lo re no no mu moi bei la Australi'as mi pu zvati ti''' — ''During Australian winter of year 2005 I was here.''
:Related words: '''citsi''', '''crisa''', '''critu''', '''vensa'''"
dy,"
'''dy''' <small>[pronoun]</small> — ''d'' (letter)"
dzena,"
'''dzena''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an elder or ancestor of  ''x<sub>2</sub><sub>(entity)</sub>''  by bond  ''x<sub>3</sub><sub>(property of x1 and x2)</sub>'' 
:'''lo dzena''' — ancestor. '''lo se dzena''' — descendant. 
:'''do dzena mi lo ka ce'u ce'u lidne lo ka jbena ca ma kau''' — ''You are my ancestor since you were born before me.''
:Related words: '''patfu''', '''rirni''', '''tamne'''"
dzipo,"
'''dzipo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is Antarctican in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''au mi vitke lo dzipo tumla''' — ''I want to visit the Antarctica.''
:Related words: '''ketco''', '''friko''', '''sralo''', '''terdi'''"
e,"
'''e''' <small>[conjunction for nouns]</small> — ''and''
:'''mi e do pu casnu lo za'u bangu''' — ''I discussed languages, and you discussed languages (maybe not with each other, maybe in different discussions).''
:Related words: '''ce''', '''je''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
e bu,"
'''e bu''' <small>[pronoun]</small> — ''e'' (letter)"
e'a,"
'''e'a''' <small>[interjection]</small> — ''you may, I allow'', '''e'a''' '''nai''' — prohibiting
:'''e'a do klama lo nenri''' — ''You may come in.''
:'''zu'e e'a nai fagri''' — ''No fire allowed!''
:'''e'a nai crepu lo flora''' — ''You may not pick the flowers.''
:Related words: '''permite'''"
e'e,"
'''e'e''' <small>[interjection]</small> — ''Come on!'' (instigation, provokation), '''e'e''' '''nai''' — discouragement, demoralization
:'''e'e klama lo zdani''' — ''Let's go home.''
:'''do e'e co'u denpa''' — ''C'mon, what are you waiting for?''
:'''e'e do jarco lo ka vlipa''' — ''Show your strength, go for it!''
:'''e'e mi kuspe do''' — ''I'll reach you.''
:'''e'e nai mi claxu lo se ditcu''' — ''Sorry, I lack time.''
:Related words: '''kakne''', '''certu'''"
e'i,"
'''e'i''' <small>[interjection]</small> — command, instruction, imposing obligation (imperative interjection)
:'''e'i mi cliva''' — ''I have to leave.''
:'''do sanga e'i''' — ''Sing!''
:'''e'i do carmi gunka''' — ''You ought to work hard.''
:Related words: '''bapli''', '''rinju'''"
e'o,"
'''e'o''' <small>[interjection]</small> — ''please'' (request), '''e'o''' '''nai''' — offer, grant
:'''e'o mi zgana''' — ''Let me see.''
:'''e'o do dunda le jisra mi''' — ''Will you pass the juice, please?''
:'''e'o nai ko lebna lo titla''' — ''Here, take some candies.''
:Related words: '''cpedu''', '''pikci'''"
e'u,"
'''e'u''' <small>[interjection]</small> — ''Let's'' (suggestion), '''e'u''' '''nai''' — warning, disadvise
:'''e'u mi'o troci''' — ''Let's try.''
:'''e'u klama''' — ''Let's go.''
:'''e'u nai do stapa lo crepu''' — ''You'd better not step onto the bridge.''
:'''e'u do dasni lo kosta''' — ''You ought to wear a coat.''
:Related words: '''stidi''', '''kajde'''"
ei,"
'''ei''' <small>[interjection]</small> — ''I should ..., one should ...'' (obligation), '''ei''' '''nai''' — freedom, how things need not be
:'''ei do ca sipna''' — ''You should be sleeping now.''
:'''ei do djuno''' — ''You ought to know.''
:'''ei nai do mipri lo nei''' — ''You needn't hide yourself.''
:Related words: '''bilga''', '''zifre'''"
enge,"
'''enge''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an architect/designer/engineer of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo enge''' — designer. 
:'''lo mi patfu pu enge lo vi dinju''' — ''My father was an architect of this building.''
:Related words: '''zbasu''', '''platu'''"
entuzi,"
'''entuzi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is enthusiastic, excited about  ''x<sub>2</sub><sub>(clause, property of x1)</sub>'' 
:'''lo entuzi''' — enthusiastic. 
:'''la Kevin cu mutce lo ka entuzi lo ka co'a se jibri lo cnino''' — ''Kevin is very enthusiastic about getting a new job.''
:Comment: '''carmi''' '''akti''' is for the meaning ''excited (in high energy state)''.
:Related words: '''xanka''', '''carmi''', '''akti'''"
esporte,"
'''esporte''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a type of sports practiced by  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo esporte''' — sports. '''lo se esporte''' — sportsperson, sportsman, sportswoman. 
:'''mi se esporte la Tenis''' — ''I practice tennis.''
:Related words: '''zajba''', '''sluji''', '''dansu'''"
fa,"
'''fa''' <small>[case tag]</small> — prefix for the 1st place of the current clause
:'''fe zo coi cusku fa mi''' — ''Hello, said I.''
:'''fe ma fa mi zukte ei''' — ''What should I do?''
:'''sarcu fa lo nu do zvati''' — ''It's required that you are present.''"
fa'a,"
'''fa'a''' <small>[preposition of place]</small> — ''directly towards ...''
:'''ko catlu fa'a le canko''' — ''Look in the direction of the window.''
:'''xu le cipni ca'o vofli fa'a lo solri''' — ''Is the bird flying towards the Sun?''"
fa'u,"
'''fa'u''' <small>[conjunction]</small> — ''and respectively ...'' (forms unmixed set)
:'''zmadu fa'u mleca fi lo ka sampu fa'u lo ka drani''' — ''It's more easy and less correct, respectively.''"
facki,"
'''facki''' — ''x<sub>1</sub><sub>(entity)</sub>''  discovers fact  ''x<sub>2</sub><sub>(proposition)</sub>''  about  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo facki''' — discoverer. '''lo se facki''' — discovery. 
:'''mi facki lo jitfa lo pu se cusku be la Alis''' — ''I discovered that what Alice said is false.''
:'''mi facki lo du'u le tcadu cu jibni''' — ''I found that the city is near.''
:'''mi pu facki lo du'u lo lisri cu xajmi''' — ''I found the story funny.''
:Comment: for searching for objects and finding them use '''mitysisku''' and '''tolcri'''.
:Related words: '''cirko''', '''djuno''', '''jijnu''', '''smadi''', '''sisku'''"
fadni,"
'''fadni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is ordinary in  ''x<sub>2</sub><sub>(property of x1)</sub>''  among  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo fadni''' — typical, ordinary. 
:'''fi lo mi pendo cu fadni fa la Kevin lo ka cusku lo simsa pe mi''' — ''Among my friends, it's common for Kevin to say such things about me.''
:Comment: ???wrong usage.
:Related words: '''cafne''', '''rirci''', '''kampu''', '''lakne''', '''tcaci''', '''cnano'''"
fagri,"
'''fagri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a fire in fuel  ''x<sub>2</sub><sub>(entity)</sub>''  burning in  ''x<sub>3</sub><sub>(entity: 'oxygen' by default)</sub>'' 
:'''lo fagri''' — fire. '''lo se fagri''' — fuel for fire. '''lo te fagri''' — oxidizer of fire. 
:'''lo fagri be lo boske bei lo brife co'a carmi''' — ''The fire in the forest burning in the wind becomes intense.''
:'''le mudri cu se fagri''' — ''The wood is burning.''
:Related words: '''jelca''', '''sacki'''"
fai,"
'''fai''' <small>[case tag]</small> — restores the part of a clause omitted using '''jai'''
:'''lo nu jimpe ti cu nandu''' — ''Understanding this is hard.''
:'''ti jai nandu fai lo ka se jimpe''' — ''This is hard to understand.''"
falnu,"
'''falnu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a sail for gathering wind  ''x<sub>2</sub><sub>(entity)</sub>''  on vehicle  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo falnu''' — sail. '''lo se falnu''' — wind for a sail. '''lo te falnu''' — sailboat. 
:'''lo vi bloti cu te falnu''' — ''This is a sailboat.''
:'''lo vi molki cu te falnu lo djacu lo xislu''' — ''This mill operates on a water wheel.''
:Comment: x<sub>2</sub> can be wind, water or other forces enabling the sail to work.
:Related words: '''bloti'''"
famti,"
'''famti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an aunt or uncle of  ''x<sub>2</sub><sub>(entity)</sub>''  by bond  ''x<sub>3</sub><sub>(property of x1 and x2)</sub>'' 
:'''lo famti''' — aunt, uncle. '''lo se famti''' — niece, nephew. 
:'''do famti mi lo ka ce'u mensi lo mamta be ce'u''' — ''You are my aunt since you are a sister of my mother.''
:Related words: '''bruna''', '''mamta''', '''mensi''', '''patfu''', '''rirni''', '''tamne'''"
fancu,"
'''fancu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a function mapping argument domain  ''x<sub>2</sub><sub>(entity)</sub>''  to function range ''x<sub>3</sub><sub>(entity)</sub>''  defined by rule  ''x<sub>4</sub><sub>(text)</sub>'' ; x<sub>1</sub> is a function of x<sub>2</sub>
:'''lo fancu''' — function. '''lo se fancu''' — domain of function arguments. '''lo te fancu''' — range of function. 
:'''lo ni mi'o snada cu te fancu lo ni mi'o troci''' — ''Our success depends on how hard we try.''
:'''lo jdima be lo broda cu te fancu lo ni le broda cu se sabji ce lo ni le broda cu se cpedu''' — ''The price of a good is a function of its supply and demand.''
:'''lo ni mi jimpe ti na te fancu tu'a do''' — ''I don't depend on you to understand this.''
:'''li fy pe li xy cu fancu li ma'u li ma'u no me'o vei xy su'i pa ve'o pi'i vei xy vu'u pa ve'o''' — ''f(x) = (x + 1) (x − 1), where x>1, f(x) >0.''
:Related words: '''mekso''', '''bridi'''"
fange,"
'''fange''' — ''x<sub>1</sub><sub>(entity)</sub>''  is alien or unfamiliar to  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo fange''' — alien, unfamiliar. 
:'''ra fange mi lo ka zukte ma kau''' — ''He is alien to me in what he does.''
:Related words: '''cizra''', '''jbena''', '''ckini'''"
fanmo,"
'''fanmo''' — ''x<sub>1</sub><sub>(clause)</sub>''  is the end, finish of  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo fanmo''' — finish, end (ending). '''lo se fanmo''' — process being finished. 
:'''do te mukti lo ka mo ca lo fanmo lo dei jeftu''' — ''What are you going to do on weekend?''
:Comment: can refer to place.
:Related words: '''krasi''', '''cfari''', '''mulno''', '''sisti''', '''denpa''', '''jipno''', '''kojna''', '''traji''', '''krasi'''"
fanri,"
'''fanri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a factory or mill producing  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo fanri''' — factory, mill. '''lo se fanri''' — product of a factory. '''lo te fanri''' — raw material for a factory. 
:'''ti fanri lo nanba lo gurni''' — ''This is a mill producing bread from grain.''
:Related words: '''molki''', '''gundi'''"
fanta,"
'''fanta''' — ''x<sub>1</sub><sub>(entity)</sub>''  prevents  ''x<sub>2</sub><sub>(clause)</sub>''  from occurring
:'''lo se fanta''' — event being prevented. 
:'''lo bumru pu fanta lo nu mi'a viska da''' — ''The fog prevented us from seeing anything.''
:Related words: '''pinfu''', '''bandu''', '''zunti''', '''rinju''', '''jimte''', '''bapli''', '''rivbi'''"
fanva,"
'''fanva''' — ''x<sub>1</sub><sub>(entity)</sub>''  translates  ''x<sub>2</sub><sub>(text)</sub>''  to language  ''x<sub>3</sub><sub>(entity)</sub>''  from language  ''x<sub>4</sub><sub>(entity)</sub>''  with result  ''x<sub>5</sub><sub>(text)</sub>''
:'''lo fanva''' — translator. '''lo se fanva''' — text to be translated. '''lo te fanva''' — target language for translation. '''lo ve fanva''' — source language for translation. '''lo xe fanva''' — translation (text). 
:'''mi pu fanva lu coi ui li'u lo glico lo lojbo zoi gy.Yay, hello!.gy.''' — ''I translated '''coi ui''' to English from Lojban as &quot;Yay, hello!&quot;''
:Comment: '''traduki''' is a preferred alternative to '''fanva'''.
:Related words: '''cusku''', '''bangu''', '''traduki'''"
fanza,"
'''fanza''' — ''x<sub>1</sub><sub>(clause)</sub>''  annoys  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo fanza''' — annoying event. '''lo se fanza''' — annoyed person. 
:'''lo nu lo verba cu klaku cu fanza lo mamta be le verba''' — ''Baby crying annoys his mother.''
:'''do fanza mi''' — ''You annoy me.''
:Related words: '''fengu''', '''raktu''', '''dicra''', '''tunta''', '''zunti''', '''jicla'''"
fapro,"
'''fapro''' — ''x<sub>1</sub><sub>(entity)</sub>''  opposes, doesn't surrender to  ''x<sub>2</sub><sub>(entity)</sub>''  about  ''x<sub>3</sub><sub>(entity, property of x1)</sub>'' ; x<sub>1</sub> refuses to do x<sub>3</sub>
:'''mi pu na ka'e fapro lo nu do cisma''' — ''I couldn't resist your smile.''
:'''xu do fapro fi lo ka sidju mi''' — ''Do you refuse to help me?''
:Related words: '''bandu''', '''bradi''', '''darlu''', '''damba''', '''jivna''', '''lanxe''', '''rivbi''', '''sarji''', '''xarnu'''"
farlu,"
'''farlu''' — ''x<sub>1</sub><sub>(entity)</sub>''  falls to  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''mi pu farlu fi lo skalera fe lo dertu''' — ''I fell down from the stairs onto the ground.''
:'''la Alis pu jai gau farlu fai le dakli le jubme''' — ''Alice dropped the bag on the table.''
:Related words: '''lafti''', '''cpare''', '''klama''', '''sfubu'''"
farna,"
'''farna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the direction of  ''x<sub>2</sub><sub>(entity)</sub>''  from origin  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo farna''' — direction, trend. 
:'''lo canko cu farna lo nu la Alis pu catlu vau mi''' — ''From my viewpoint, Alice was looking at the direction of the window.''
:Related words: '''zunle''', '''pritu''', '''galtu''', '''gapru''', '''cnita''', '''dizlo''', '''berti''', '''snanu''', '''stuna''', '''stici''', '''purci''', '''balvi''', '''lidne'''"
farvi,"
'''farvi''' — ''x<sub>1</sub><sub>(entity)</sub>''  evolves or develops into  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>''  through stages  ''x<sub>4</sub><sub>(ordered entity group)</sub>'' 
:'''lo ve farvi''' — stage of development, version in development. 
:'''lo'e nanba cu farvi lo bredi lo te zbasu lo nu co'a mixre lo purmo ce lo matne ce lo sovda ce lo sakta vau ce'o lo nu glare ce'o lo nu satre vo'a lo matne''' — ''One makes a standard cake from raw materials by mixing flour, butter, eggs and sugar together, then heating, then greasing the cake with butter, and after that, it is ready.''
:Related words: '''pruce''', '''banro''', '''makcu''', '''ciste''', '''cupra''', '''ferti'''"
fasnu,"
'''fasnu''' — ''x<sub>1</sub><sub>(clause)</sub>''  occurs or happens
:'''lo fasnu''' — occurrence, case (occurrence). 
:'''lo cizra pu va fasnu''' — ''There were strange things happening there.''
:'''lo ei ba fasnu ba fasnu''' — ''Whatever shall be will be.''
:Related words: '''fau''', '''krefu''', '''lifri''', '''fatci''', '''rapli''', '''gasnu''', '''zukte''', '''banli'''"
fatci,"
'''fatci''' — ''x<sub>1</sub><sub>(proposition)</sub>''  is a fact
:'''lo fatci''' — fact. 
:'''i mi na ro va'e birti lo du'u ro lo se djuno be mi bei lo munje cu fatci''' — ''I'm not completely sure that all that I know about the world are actual facts.''
:Related words: '''datni''', '''jitfa''', '''xanri''', '''jetnu''', '''fasnu''', '''zasti''', '''cfika''', '''saske'''"
fatri,"
'''fatri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is distributed among  ''x<sub>2</sub><sub>(entity)</sub>''  with portions  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo fatri''' — distributed. '''lo te fatri''' — portion of a distributed thing. 
:'''gau mi fatri fa lo titla lo verba lo pa mei''' — ''I handed out candies to children one candy to each of them.''
:Related words: '''fa'u''', '''fendi''', '''preja''', '''katna''', '''tcana'''"
fau,"
'''fau''' <small>[preposition]</small> — ''with the event of ...''
:'''fau lo nu do djica vau ko cpedu fi mi''' — ''If you want, ask me.''
:'''fau ro nu do nitcu da vau ko da lebna''' — ''Whenever you need something, take it.''
:'''fau da'i ro da mi snada''' — ''I would succeed anyway.''"
